Week,how to apply for ei: (Canada),uber eats: (Canada),skip the dishes: (Canada),doordash: (Canada),uber: (Canada)
2019-05-19,<1,15,41,6,63
2019-05-26,1,14,46,7,63
2019-06-02,<1,15,40,7,64
2019-06-09,1,16,43,7,60
2019-06-16,1,15,43,6,64
2019-06-23,1,13,48,8,64
2019-06-30,1,12,50,5,59
2019-07-07,1,15,50,7,68
2019-07-14,<1,15,52,8,61
2019-07-21,<1,15,47,7,63
2019-07-28,1,13,45,8,61
2019-08-04,<1,13,42,7,64
2019-08-11,<1,15,45,9,65
2019-08-18,1,15,40,8,69
2019-08-25,<1,13,45,7,64
2019-09-01,1,13,42,9,60
2019-09-08,1,14,39,11,62
2019-09-15,<1,15,41,9,60
2019-09-22,<1,16,43,12,56
2019-09-29,<1,15,41,9,59
2019-10-06,1,13,39,9,58
2019-10-13,1,14,41,7,56
2019-10-20,<1,15,44,7,59
2019-10-27,1,17,48,10,70
2019-11-03,<1,15,42,9,68
2019-11-10,<1,20,49,11,68
2019-11-17,1,16,41,8,66
2019-11-24,1,15,49,8,63
2019-12-01,1,21,43,8,68
2019-12-08,2,19,47,9,72
2019-12-15,<1,20,42,9,71
2019-12-22,1,19,46,9,67
2019-12-29,1,19,52,9,68
2020-01-05,<1,14,42,9,62
2020-01-12,<1,18,44,10,68
2020-01-19,<1,19,45,10,86
2020-01-26,1,18,43,10,76
2020-02-02,1,18,43,9,76
2020-02-09,<1,19,46,10,74
2020-02-16,<1,19,48,9,72
2020-02-23,1,17,47,9,66
2020-03-01,<1,17,42,8,67
2020-03-08,1,15,39,8,63
2020-03-15,28,29,47,14,70
2020-03-22,34,33,56,17,68
2020-03-29,15,33,68,22,65
2020-04-05,10,36,71,21,61
2020-04-12,6,37,67,26,60
2020-04-19,3,37,72,20,62
2020-04-26,2,36,70,22,64
2020-05-03,2,27,62,24,59
2020-05-10,2,26,62,25,55
2020-05-17,1,27,53,18,58
2020-05-24,1,24,54,17,54
2020-05-31,1,25,53,17,52
2020-06-07,1,28,49,14,60
2020-06-14,2,31,52,16,61
2020-06-21,1,29,59,18,63
2020-06-28,1,27,46,19,60
2020-07-05,1,25,52,15,63
2020-07-12,1,24,48,16,56
2020-07-19,<1,26,52,17,59
2020-07-26,<1,26,50,16,57
2020-08-02,1,28,52,17,62
2020-08-09,1,24,51,18,55
2020-08-16,1,23,48,18,54
2020-08-23,1,25,46,16,56
2020-08-30,1,25,49,19,57
2020-09-06,1,24,45,18,54
2020-09-13,1,23,46,21,51
2020-09-20,2,28,45,22,60
2020-09-27,6,32,47,21,60
2020-10-04,2,28,43,18,60
2020-10-11,2,29,43,20,54
2020-10-18,1,30,47,20,56
2020-10-25,2,29,49,20,56
2020-11-01,1,30,41,23,60
2020-11-08,1,27,46,25,58
2020-11-15,2,34,48,23,60
2020-11-22,1,32,53,22,56
2020-11-29,1,35,49,23,62
2020-12-06,2,35,54,53,64
2020-12-13,2,37,59,33,64
2020-12-20,2,35,55,27,64
2020-12-27,2,35,63,29,59
2021-01-03,1,27,49,20,52
2021-01-10,2,33,45,25,61
2021-01-17,1,35,49,20,60
2021-01-24,1,34,50,27,62
2021-01-31,1,32,48,22,57
2021-02-07,<1,35,48,24,61
2021-02-14,<1,36,46,23,69
2021-02-21,1,35,42,21,63
2021-02-28,1,32,42,19,61
2021-03-07,1,30,44,19,60
2021-03-14,1,32,40,19,65
2021-03-21,1,30,41,16,60
2021-03-28,1,29,47,17,63
2021-04-04,1,30,39,18,56
2021-04-11,1,28,38,15,55
